_id,METER_CODE,FOLIO_NUMBER,GROSS_UNACCOUNTED
663d31c3d9a15983eb2c3736,MTR_301,04/07/2023,1
663d31c3d9a15983eb2c3737,MTR_301,04/08/2023,0
663d31c3d9a15983eb2c3738,MTR_301,04/10/2023,4
663d31c3d9a15983eb2c3739,MTR_301,04/11/2023,3
663d31c3d9a15983eb2c373a,MTR_301,04/12/2023,3
663d31c3d9a15983eb2c373b,MTR_301,04/13/2023,1
663d31c3d9a15983eb2c373c,MTR_301,04/14/2023,5
663d31c3d9a15983eb2c373d,MTR_301,04/15/2023,0
663d31c3d9a15983eb2c373e,MTR_301,04/17/2023,1
663d31c3d9a15983eb2c373f,MTR_301,04/18/2023,1
663d31c3d9a15983eb2c3740,MTR_301,04/19/2023,3
663d31c3d9a15983eb2c3741,MTR_301,04/20/2023,2
663d31c3d9a15983eb2c3742,MTR_301,04/21/2023,-1
663d31c3d9a15983eb2c3743,MTR_301,04/24/2023,2
663d31c3d9a15983eb2c3744,MTR_301,04/25/2023,3
663d31c3d9a15983eb2c3745,MTR_301,04/26/2023,3
663d31c3d9a15983eb2c3746,MTR_301,04/27/2023,4
663d31c3d9a15983eb2c3747,MTR_301,04/28/2023,4
663d31c3d9a15983eb2c3748,MTR_301,04/29/2023,4
663d31c3d9a15983eb2c3749,MTR_301,04/30/2023,-15003
663d31c3d9a15983eb2c374a,MTR_301,05/01/2023,0
663d31c3d9a15983eb2c374b,MTR_301,05/02/2023,-3
663d31c3d9a15983eb2c374c,MTR_301,05/03/2023,1
663d31c3d9a15983eb2c374d,MTR_301,05/04/2023,0
663d31c3d9a15983eb2c374e,MTR_301,05/05/2023,4
663d31c3d9a15983eb2c374f,MTR_301,05/06/2023,3
663d31c3d9a15983eb2c3750,MTR_301,05/07/2023,0
663d31c3d9a15983eb2c3751,MTR_301,05/08/2023,4
663d31c3d9a15983eb2c3752,MTR_301,05/09/2023,1
663d31c3d9a15983eb2c3753,MTR_301,05/10/2023,3
663d31c3d9a15983eb2c3754,MTR_301,05/11/2023,0
663d31c3d9a15983eb2c3755,MTR_301,05/12/2023,1
663d31c3d9a15983eb2c3756,MTR_301,05/13/2023,1
663d31c3d9a15983eb2c3757,MTR_301,05/14/2023,1
663d31c3d9a15983eb2c3758,MTR_301,05/15/2023,-1
663d31c3d9a15983eb2c3759,MTR_301,05/16/2023,3
663d31c3d9a15983eb2c375a,MTR_301,05/17/2023,1
663d31c3d9a15983eb2c375b,MTR_301,05/18/2023,8
663d31c3d9a15983eb2c375c,MTR_301,05/19/2023,2
663d31c3d9a15983eb2c375d,MTR_301,05/20/2023,5
663d31c3d9a15983eb2c375e,MTR_301,05/22/2023,2
663d31c3d9a15983eb2c375f,MTR_301,05/23/2023,3
663d31c3d9a15983eb2c3760,MTR_301,05/24/2023,2
663d31c3d9a15983eb2c3761,MTR_301,05/25/2023,0
663d31c3d9a15983eb2c3762,MTR_301,05/26/2023,6
663d31c3d9a15983eb2c3763,MTR_301,05/27/2023,9
663d31c3d9a15983eb2c3764,MTR_301,05/29/2023,6
663d31c3d9a15983eb2c3765,MTR_301,05/30/2023,6
663d31c3d9a15983eb2c3766,MTR_301,05/31/2023,2
663d31c3d9a15983eb2c3767,MTR_301,06/01/2023,5
663d31c3d9a15983eb2c3768,MTR_301,06/02/2023,7999
663d31c3d9a15983eb2c3769,MTR_301,06/03/2023,2
663d31c3d9a15983eb2c376a,MTR_301,06/05/2023,5
663d31c3d9a15983eb2c376b,MTR_301,06/06/2023,11
663d31c3d9a15983eb2c376c,MTR_301,06/07/2023,8
663d31c3d9a15983eb2c376d,MTR_301,06/08/2023,7
663d31c3d9a15983eb2c376e,MTR_301,06/09/2023,3
663d31c3d9a15983eb2c376f,MTR_301,06/10/2023,7
663d31c3d9a15983eb2c3770,MTR_301,06/12/2023,2
663d31c3d9a15983eb2c3771,MTR_301,06/13/2023,2
663d31c3d9a15983eb2c3772,MTR_301,06/14/2023,2
663d31c3d9a15983eb2c3773,MTR_301,06/15/2023,2
663d31c3d9a15983eb2c3774,MTR_301,06/16/2023,-1
663d31c3d9a15983eb2c3775,MTR_301,06/17/2023,-2
663d31c3d9a15983eb2c3776,MTR_301,06/19/2023,-2
663d31c3d9a15983eb2c3777,MTR_301,06/20/2023,-3
663d31c3d9a15983eb2c3778,MTR_301,06/21/2023,-2
663d31c3d9a15983eb2c3779,MTR_301,06/22/2023,0
663d31c3d9a15983eb2c377a,MTR_301,06/23/2023,1
663d31c3d9a15983eb2c377b,MTR_301,06/24/2023,2
663d31c3d9a15983eb2c377c,MTR_301,06/25/2023,-2
663d31c3d9a15983eb2c377d,MTR_301,06/26/2023,6
663d31c3d9a15983eb2c377e,MTR_301,06/27/2023,3
663d31c3d9a15983eb2c377f,MTR_301,06/28/2023,9
663d31c3d9a15983eb2c3780,MTR_301,06/30/2023,0
663d31c3d9a15983eb2c3781,MTR_301,07/01/2023,1
663d31c3d9a15983eb2c3782,MTR_301,07/03/2023,2
663d31c3d9a15983eb2c3783,MTR_301,07/04/2023,3
663d31c3d9a15983eb2c3784,MTR_301,07/05/2023,0
663d31c3d9a15983eb2c3785,MTR_301,07/06/2023,5
663d31c3d9a15983eb2c3786,MTR_301,07/07/2023,5
663d31c3d9a15983eb2c3787,MTR_301,07/08/2023,-1
663d31c3d9a15983eb2c3788,MTR_301,07/10/2023,1
663d31c3d9a15983eb2c3789,MTR_301,07/11/2023,1
663d31c3d9a15983eb2c378a,MTR_301,07/12/2023,4
663d31c3d9a15983eb2c378b,MTR_301,07/13/2023,4
663d31c3d9a15983eb2c378c,MTR_301,07/14/2023,6
663d31c3d9a15983eb2c378d,MTR_301,07/15/2023,6
663d31c3d9a15983eb2c378e,MTR_301,07/17/2023,10
663d31c3d9a15983eb2c378f,MTR_301,07/18/2023,1
663d31c3d9a15983eb2c3790,MTR_301,07/19/2023,1
663d31c3d9a15983eb2c3791,MTR_302,09/27/2021,1
663d31c3d9a15983eb2c3792,MTR_302,09/28/2021,-3
663d31c3d9a15983eb2c3793,MTR_302,09/29/2021,2
663d31c3d9a15983eb2c3794,MTR_302,09/30/2021,-2
663d31c3d9a15983eb2c3795,MTR_302,10/01/2021,0
663d31c3d9a15983eb2c3796,MTR_302,10/02/2021,2
663d31c3d9a15983eb2c3797,MTR_302,10/04/2021,1
663d31c3d9a15983eb2c3798,MTR_302,10/05/2021,520
663d31c3d9a15983eb2c3799,MTR_302,10/06/2021,1
663d31c3d9a15983eb2c379a,MTR_302,10/07/2021,0
663d31c3d9a15983eb2c379b,MTR_302,10/08/2021,-2
663d31c3d9a15983eb2c379c,MTR_302,10/09/2021,0
663d31c3d9a15983eb2c379d,MTR_302,10/10/2021,-1
663d31c3d9a15983eb2c379e,MTR_302,10/11/2021,0
663d31c3d9a15983eb2c379f,MTR_302,10/12/2021,2997
663d31c3d9a15983eb2c37a0,MTR_302,10/13/2021,46942
663d31c3d9a15983eb2c37a1,MTR_302,10/14/2021,66954
663d31c3d9a15983eb2c37a2,MTR_302,10/15/2021,-2
663d31c3d9a15983eb2c37a3,MTR_302,10/16/2021,0
663d31c3d9a15983eb2c37a4,MTR_302,10/18/2021,0
663d31c3d9a15983eb2c37a5,MTR_302,10/19/2021,-1
663d31c3d9a15983eb2c37a6,MTR_302,10/20/2021,0
663d31c3d9a15983eb2c37a7,MTR_302,10/21/2021,-1
663d31c3d9a15983eb2c37a8,MTR_302,10/22/2021,1
663d31c3d9a15983eb2c37a9,MTR_302,10/23/2021,0
663d31c3d9a15983eb2c37aa,MTR_302,10/24/2021,0
663d31c3d9a15983eb2c37ab,MTR_302,10/25/2021,-1
663d31c3d9a15983eb2c37ac,MTR_302,10/26/2021,-2
663d31c3d9a15983eb2c37ad,MTR_302,10/27/2021,-1
663d31c3d9a15983eb2c37ae,MTR_302,10/28/2021,0
663d31c3d9a15983eb2c37af,MTR_302,10/29/2021,1
663d31c3d9a15983eb2c37b0,MTR_302,10/30/2021,1
663d31c3d9a15983eb2c37b1,MTR_302,11/01/2021,1
663d31c3d9a15983eb2c37b2,MTR_302,11/02/2021,3
663d31c3d9a15983eb2c37b3,MTR_302,11/03/2021,-1
663d31c3d9a15983eb2c37b4,MTR_302,11/04/2021,1
663d31c3d9a15983eb2c37b5,MTR_302,11/05/2021,-3
663d31c3d9a15983eb2c37b6,MTR_302,11/06/2021,-1
663d31c3d9a15983eb2c37b7,MTR_302,11/08/2021,-1
663d31c3d9a15983eb2c37b8,MTR_302,11/09/2021,0
663d31c3d9a15983eb2c37b9,MTR_302,11/10/2021,-2
663d31c3d9a15983eb2c37ba,MTR_302,11/11/2021,0
663d31c3d9a15983eb2c37bb,MTR_302,11/12/2021,-1
663d31c3d9a15983eb2c37bc,MTR_302,11/13/2021,1
663d31c3d9a15983eb2c37bd,MTR_302,11/14/2021,0
663d31c3d9a15983eb2c37be,MTR_302,11/15/2021,-1
663d31c3d9a15983eb2c37bf,MTR_302,11/16/2021,0
663d31c3d9a15983eb2c37c0,MTR_302,11/17/2021,-1
663d31c3d9a15983eb2c37c1,MTR_302,11/18/2021,0
663d31c3d9a15983eb2c37c2,MTR_302,11/19/2021,-2
663d31c3d9a15983eb2c37c3,MTR_302,11/20/2021,1
663d31c3d9a15983eb2c37c4,MTR_302,11/22/2021,3
663d31c3d9a15983eb2c37c5,MTR_302,11/23/2021,0
663d31c3d9a15983eb2c37c6,MTR_302,11/24/2021,0
663d31c3d9a15983eb2c37c7,MTR_302,11/25/2021,1
663d31c3d9a15983eb2c37c8,MTR_302,11/26/2021,0
663d31c3d9a15983eb2c37c9,MTR_302,11/27/2021,-2
663d31c3d9a15983eb2c37ca,MTR_302,11/29/2021,0
663d31c3d9a15983eb2c37cb,MTR_302,11/30/2021,0
663d31c3d9a15983eb2c37cc,MTR_302,12/01/2021,2
663d31c3d9a15983eb2c37cd,MTR_302,12/02/2021,1
663d31c3d9a15983eb2c37ce,MTR_302,12/03/2021,-2
663d31c3d9a15983eb2c37cf,MTR_302,12/04/2021,1
663d31c3d9a15983eb2c37d0,MTR_302,12/06/2021,0
663d31c3d9a15983eb2c37d1,MTR_302,12/07/2021,-1
663d31c3d9a15983eb2c37d2,MTR_302,12/08/2021,-1
663d31c3d9a15983eb2c37d3,MTR_302,12/09/2021,0
663d31c3d9a15983eb2c37d4,MTR_302,12/10/2021,0
663d31c3d9a15983eb2c37d5,MTR_302,12/11/2021,-2
663d31c3d9a15983eb2c37d6,MTR_302,12/13/2021,1
663d31c3d9a15983eb2c37d7,MTR_302,12/14/2021,1
663d31c3d9a15983eb2c37d8,MTR_302,12/15/2021,1
663d31c3d9a15983eb2c37d9,MTR_302,12/16/2021,1
663d31c3d9a15983eb2c37da,MTR_302,12/17/2021,-1
663d31c3d9a15983eb2c37db,MTR_302,12/18/2021,-3
663d31c3d9a15983eb2c37dc,MTR_302,12/20/2021,0
663d31c3d9a15983eb2c37dd,MTR_302,12/21/2021,0
663d31c3d9a15983eb2c37de,MTR_302,12/22/2021,-1
663d31c3d9a15983eb2c37df,MTR_302,12/23/2021,4
663d31c3d9a15983eb2c37e0,MTR_302,12/24/2021,2
663d31c3d9a15983eb2c37e1,MTR_302,12/25/2021,0
663d31c3d9a15983eb2c37e2,MTR_302,12/27/2021,-2
663d31c3d9a15983eb2c37e3,MTR_302,12/28/2021,1
663d31c3d9a15983eb2c37e4,MTR_302,12/29/2021,-1
663d31c3d9a15983eb2c37e5,MTR_302,12/30/2021,-1
663d31c3d9a15983eb2c37e6,MTR_302,12/31/2021,1
663d31c3d9a15983eb2c37e7,MTR_302,01/01/2022,1
663d31c3d9a15983eb2c37e8,MTR_302,01/02/2022,0
663d31c3d9a15983eb2c37e9,MTR_302,01/03/2022,-1
663d31c3d9a15983eb2c37ea,MTR_302,01/04/2022,3
663d31c3d9a15983eb2c37eb,MTR_302,01/05/2022,-1
663d31c3d9a15983eb2c37ec,MTR_302,01/06/2022,-1
