_id,FOLIO_NUMBER,CUSTOMER_NUMBER,TERMINAL_PRODUCT_NUMBER,ORDERED_QUANTITY
6638b176bd5ca0cb694dde4f,2023-06-14T00:00:00.000Z,3,7,1860000
6638b176bd5ca0cb694dde50,2023-06-14T00:00:00.000Z,3,8,130930
6638b176bd5ca0cb694dde51,2023-06-14T00:00:00.000Z,3,9,14000
6638b176bd5ca0cb694dde52,2023-06-14T00:00:00.000Z,3,10,49550
6638b176bd5ca0cb694dde53,2023-06-14T00:00:00.000Z,3,11,8100
6638b176bd5ca0cb694dde54,2023-06-14T00:00:00.000Z,5,4,53000
6638b176bd5ca0cb694dde55,2023-06-14T00:00:00.000Z,5,7,215000
6638b176bd5ca0cb694dde56,2023-06-14T00:00:00.000Z,5,10,41500
6638b176bd5ca0cb694dde57,2023-06-14T00:00:00.000Z,5,13,5400
6638b176bd5ca0cb694dde58,2023-06-14T00:00:00.000Z,7,4,12000
6638b176bd5ca0cb694dde59,2023-06-14T00:00:00.000Z,7,7,70000
6638b176bd5ca0cb694dde5a,2023-06-14T00:00:00.000Z,8,7,99000
6638b176bd5ca0cb694dde5b,2023-06-14T00:00:00.000Z,8,10,3300
6638b176bd5ca0cb694dde5c,2023-06-14T00:00:00.000Z,9,4,8000
6638b176bd5ca0cb694dde5d,2023-06-14T00:00:00.000Z,9,7,82000
6638b176bd5ca0cb694dde5e,2023-06-14T00:00:00.000Z,12,4,23000
6638b176bd5ca0cb694dde5f,2023-06-14T00:00:00.000Z,12,7,229000
6638b176bd5ca0cb694dde60,2023-06-14T00:00:00.000Z,14,4,4000
6638b176bd5ca0cb694dde61,2023-06-14T00:00:00.000Z,14,7,95000
6638b176bd5ca0cb694dde62,2023-06-14T00:00:00.000Z,15,4,4000
6638b176bd5ca0cb694dde63,2023-06-14T00:00:00.000Z,15,7,24000
6638b176bd5ca0cb694dde64,2023-06-15T00:00:00.000Z,2,4,18000
6638b176bd5ca0cb694dde65,2023-06-15T00:00:00.000Z,2,7,603000
6638b176bd5ca0cb694dde66,2023-06-15T00:00:00.000Z,3,1,0
6638b176bd5ca0cb694dde67,2023-06-15T00:00:00.000Z,3,4,393000
6638b176bd5ca0cb694dde68,2023-06-15T00:00:00.000Z,3,7,1266000
6638b176bd5ca0cb694dde69,2023-06-15T00:00:00.000Z,3,8,90200
6638b176bd5ca0cb694dde6a,2023-06-15T00:00:00.000Z,3,9,20600
6638b176bd5ca0cb694dde6b,2023-06-15T00:00:00.000Z,3,10,36150
6638b176bd5ca0cb694dde6c,2023-06-15T00:00:00.000Z,3,11,5700
6638b176bd5ca0cb694dde6d,2023-06-15T00:00:00.000Z,5,4,12000
6638b176bd5ca0cb694dde6e,2023-06-15T00:00:00.000Z,5,7,198000
6638b176bd5ca0cb694dde6f,2023-06-15T00:00:00.000Z,5,10,30000
6638b176bd5ca0cb694dde70,2023-06-15T00:00:00.000Z,5,13,1800
6638b176bd5ca0cb694dde71,2023-06-15T00:00:00.000Z,7,4,33000
6638b176bd5ca0cb694dde72,2023-06-15T00:00:00.000Z,7,7,99000
6638b176bd5ca0cb694dde73,2023-06-15T00:00:00.000Z,8,4,28000
6638b176bd5ca0cb694dde74,2023-06-15T00:00:00.000Z,8,7,137000
6638b176bd5ca0cb694dde75,2023-06-15T00:00:00.000Z,8,10,14900
6638b176bd5ca0cb694dde76,2023-06-15T00:00:00.000Z,8,11,8400
6638b176bd5ca0cb694dde77,2023-06-15T00:00:00.000Z,9,4,9000
6638b176bd5ca0cb694dde78,2023-06-15T00:00:00.000Z,9,7,57000
6638b176bd5ca0cb694dde79,2023-06-15T00:00:00.000Z,12,4,43000
6638b176bd5ca0cb694dde7a,2023-06-15T00:00:00.000Z,12,7,270000
6638b176bd5ca0cb694dde7b,2023-06-15T00:00:00.000Z,14,4,2000
6638b176bd5ca0cb694dde7c,2023-06-15T00:00:00.000Z,14,7,78000
6638b176bd5ca0cb694dde7d,2023-06-15T00:00:00.000Z,15,7,175000
6638b176bd5ca0cb694dde7e,2023-06-16T00:00:00.000Z,2,4,4000
6638b176bd5ca0cb694dde7f,2023-06-16T00:00:00.000Z,2,7,505000
6638b176bd5ca0cb694dde80,2023-06-16T00:00:00.000Z,3,1,0
6638b176bd5ca0cb694dde81,2023-06-16T00:00:00.000Z,3,4,283100
6638b176bd5ca0cb694dde82,2023-06-16T00:00:00.000Z,3,7,1547100
6638b176bd5ca0cb694dde83,2023-06-16T00:00:00.000Z,3,8,112490
6638b176bd5ca0cb694dde84,2023-06-16T00:00:00.000Z,3,9,14400
6638b176bd5ca0cb694dde85,2023-06-16T00:00:00.000Z,3,10,37050
6638b176bd5ca0cb694dde86,2023-06-16T00:00:00.000Z,3,11,9900
