_id,INJECTOR_CODE,FOLIO_NUMBER,FRAC_UNACCOUNTED
6638d02b36388c250bde0632,INJ_208,11/04/2022,2
6638d02b36388c250bde0633,INJ_208,11/07/2022,1
6638d02b36388c250bde0634,INJ_208,11/10/2022,0
6638d02b36388c250bde0635,INJ_208,11/11/2022,-2
6638d02b36388c250bde0636,INJ_208,11/17/2022,34
6638d02b36388c250bde0637,INJ_208,11/18/2022,8
6638d02b36388c250bde0638,INJ_208,12/02/2022,0
6638d02b36388c250bde0639,INJ_208,12/03/2022,0
6638d02b36388c250bde063a,INJ_208,12/05/2022,3
6638d02b36388c250bde063b,INJ_208,12/12/2022,1
6638d02b36388c250bde063c,INJ_208,12/15/2022,1
6638d02b36388c250bde063d,INJ_208,12/24/2022,1
6638d02b36388c250bde063e,INJ_208,12/26/2022,1
6638d02b36388c250bde063f,INJ_208,12/27/2022,0
6638d02b36388c250bde0640,INJ_208,12/29/2022,2
6638d02b36388c250bde0641,INJ_208,01/06/2023,0
6638d02b36388c250bde0642,INJ_208,01/11/2023,0
6638d02b36388c250bde0643,INJ_208,01/20/2023,1
6638d02b36388c250bde0644,INJ_208,03/03/2023,897
6638d02b36388c250bde0645,INJ_208,03/04/2023,900
6638d02b36388c250bde0646,INJ_208,03/06/2023,698
6638d02b36388c250bde0647,INJ_208,03/08/2023,499
6638d02b36388c250bde0648,INJ_208,03/09/2023,405
6638d02b36388c250bde0649,INJ_208,03/10/2023,703
6638d02b36388c250bde064a,INJ_208,03/11/2023,209
6638d02b36388c250bde064b,INJ_208,03/13/2023,106
6638d02b36388c250bde064c,INJ_208,03/14/2023,848
6638d02b36388c250bde064d,INJ_208,03/16/2023,200
6638d02b36388c250bde064e,INJ_208,03/20/2023,400
6638d02b36388c250bde064f,INJ_208,03/21/2023,198
6638d02b36388c250bde0650,INJ_208,03/22/2023,794
6638d02b36388c250bde0651,INJ_208,03/23/2023,203
6638d02b36388c250bde0652,INJ_208,03/24/2023,892
6638d02b36388c250bde0653,INJ_208,03/27/2023,400
6638d02b36388c250bde0654,INJ_208,04/03/2023,801
6638d02b36388c250bde0655,INJ_208,04/05/2023,2
6638d02b36388c250bde0656,INJ_208,04/06/2023,800
6638d02b36388c250bde0657,INJ_208,04/07/2023,199
