METER_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,GROSS_UNACCOUNTED,GROSS_THRUPUT,ACTUAL_GROSS_THRUPUT,serka,serka2,serka3
MTR_201,20220712,136000,135027,3,135918,135921,82,-891,-894
MTR_201,20220713,135000,134033,1,134928,134929,72,-895,-896
MTR_201,20220714,261000,233320,0,234871,234871,26129,-1551,-1551
MTR_201,20220715,217000,215448,1,216870,216871,130,-1422,-1423
MTR_201,20220716,476000,465646,4,475758,475762,242,-10112,-10116
MTR_201,20220717,47000,36735,0,36983,36983,10017,-248,-248
MTR_201,20220718,569000,526207,-2,529735,529733,39265,-3528,-3526
MTR_201,20220719,489000,481530,6,484775,484781,4225,-3245,-3251
MTR_201,20220720,491000,480538,3,483756,483759,7244,-3218,-3221
MTR_201,20220721,346000,343524,0,345816,345816,184,-2292,-2292
MTR_201,20220722,494000,465645,5,468700,468705,25300,-3055,-3060
MTR_201,20220723,483000,469615,2,472701,472703,10299,-3086,-3088
MTR_201,20220725,455000,398131,-1,405772,405771,49228,-7641,-7640
MTR_201,20220726,431000,399125,2,401781,401783,29219,-2656,-2658
MTR_201,20220727,317000,314733,3,316828,316831,172,-2095,-2098
MTR_201,20220728,391000,380258,1,382762,382763,8238,-2504,-2505
MTR_201,20220729,416300,405278,5,407861,407866,8439,-2583,-2588
MTR_201,20220730,257100,247318,1,248968,248969,8132,-1650,-1651
MTR_201,20220731,28000,20850,0,20990,20990,7010,-140,-140
MTR_201,20220801,634000,610595,1,614667,614668,19333,-4072,-4073
MTR_201,20220802,530000,500394,-5,503662,503657,26338,-3268,-3263
MTR_201,20220803,683000,651302,2,655576,655578,27424,-4274,-4276
MTR_201,20220804,457000,424939,5,427724,427729,29276,-2785,-2790
MTR_201,20220805,680000,644355,-2,648655,648653,31345,-4300,-4298
MTR_201,20220806,561000,505359,1,511595,511596,49405,-6236,-6237
MTR_201,20220807,12000,11914,0,11997,11997,3,-83,-83
MTR_201,20220808,470100,432981,5,435867,435872,34233,-2886,-2891
MTR_201,20220809,455000,411040,4,413718,413722,41282,-2678,-2682
MTR_201,20220810,525100,521342,2,524666,524668,434,-3324,-3326
MTR_201,20220811,558000,549045,2,552603,552605,5397,-3558,-3560
MTR_201,20220812,456000,452739,-4,455695,455691,305,-2956,-2952
MTR_201,20220813,423000,409052,1,411754,411755,11246,-2702,-2703
MTR_201,20220814,54000,39714,1,31249,31250,22751,8465,8464
MTR_201,20220815,452100,417095,1,419802,419803,32298,-2707,-2708
MTR_201,20220816,674000,639387,2,643648,643650,30352,-4261,-4263
MTR_201,20220817,621000,599675,1,607645,607646,13355,-7970,-7971
MTR_201,20220818,564000,550037,1,549723,549724,14277,314,313
MTR_201,20220819,565100,523323,3,526780,526783,38320,-3457,-3460
MTR_201,20220820,508100,494535,1,497789,497790,10311,-3254,-3255
MTR_201,20220822,556000,542094,5,545661,545666,10339,-3567,-3572
MTR_201,20220823,642000,623506,-2,627619,627617,14381,-4113,-4111
MTR_201,20220824,439000,411041,4,413761,413765,25239,-2720,-2724
MTR_201,20220825,467100,412132,5,414810,414815,52290,-2678,-2683
MTR_201,20220826,598160,583571,-4,593463,593459,4697,-9892,-9888
MTR_201,20220827,568000,527194,2,523685,523687,44315,3509,3507
MTR_201,20220828,15000,14893,0,14989,14989,11,-96,-96
MTR_201,20220829,488000,482522,3,485755,485758,2245,-3233,-3236
MTR_201,20220830,551100,497514,1,500562,500563,50538,-3048,-3049
MTR_201,20220831,706000,668185,-5,683606,683601,22394,-15421,-15416
MTR_201,20220901,431100,416098,1,418766,418767,12334,-2668,-2669
MTR_201,20220902,621000,512308,7,515712,515719,105288,-3404,-3411
MTR_201,20220903,584200,455916,2,459016,459018,125184,-3100,-3102
MTR_201,20220904,73000,52622,-1,52962,52961,20038,-340,-339
MTR_201,20220905,523374,410417,3,408796,408799,114578,1621,1618
MTR_201,20220906,386000,376285,4,378811,378815,7189,-2526,-2530
MTR_201,20220907,556000,528194,4,531728,531732,24272,-3534,-3538
MTR_201,20220908,513125,492572,5,487775,487780,25350,4797,4792
MTR_201,20220909,536000,516279,3,519714,519717,16286,-3435,-3438
MTR_201,20220910,376000,363380,3,375783,375786,217,-12403,-12406
MTR_201,20220912,599000,554003,0,563710,563710,35290,-9707,-9707
MTR_201,20220913,522000,496420,5,499724,499729,22276,-3304,-3309
MTR_201,20220914,388200,375493,2,377952,377954,10248,-2459,-2461
MTR_201,20220915,238000,236296,-1,237861,237860,139,-1565,-1564
MTR_201,20220916,499500,468126,9997,473344,483341,26156,-5218,-15215
MTR_201,20220917,579100,510420,2,513787,513789,65313,-3367,-3369
MTR_201,20220918,33000,32762,2,32978,32980,22,-216,-218
MTR_201,20220919,536200,504561,4,515904,515908,20296,-11343,-11347
MTR_201,20220920,557000,507340,0,510714,510714,46286,-3374,-3374
MTR_201,20220921,534000,530174,-1,533706,533705,294,-3532,-3531
MTR_201,20220922,411000,405077,1,407796,407797,3204,-2719,-2720
MTR_201,20220923,427000,399122,0,401752,401752,25248,-2630,-2630
MTR_201,20220924,294100,267175,2,268895,268897,25205,-1720,-1722
MTR_201,20220926,552000,481531,4,484744,484748,67256,-3213,-3217
MTR_201,20220927,310000,282961,0,284845,284845,25155,-1884,-1884
MTR_201,20220928,224100,219520,28988,220932,249920,3168,-1412,-30400
MTR_201,20220929,206000,183678,-2,184892,184890,21108,-1214,-1212
MTR_201,20220930,225000,198569,4,199882,199886,25118,-1313,-1317
MTR_201,20221001,350100,337667,164232,334316,498548,15784,3351,-160881
MTR_201,20221004,532000,500347,192962,503753,696715,28247,-3406,-196368
MTR_201,20221005,376000,357444,18983,359798,378781,16202,-2354,-21337
MTR_201,20221006,362000,333360,1,335781,335782,26219,-2421,-2422
MTR_201,20221007,432100,428110,96031,439788,535819,-7688,-11678,-107709
MTR_201,20221008,417100,399426,-2,399407,399405,17693,19,21
MTR_201,20221010,323000,280398,7002,301835,308837,21165,-21437,-28439
MTR_201,20221011,374200,340109,-1,323933,323932,50267,16176,16177
MTR_201,20221012,485000,480728,1,484758,484759,242,-4030,-4031
MTR_201,20221013,554000,511461,2,515725,515727,38275,-4264,-4266
