INJECTOR_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,UNACCOUNTED,FRAC_UNACCOUNTED,PRODUCT_THRUPUT,serka
INJ_505,20230622,5400,5400,1,205,17988,-12588
INJ_505,20230623,2100,2100,1,51,6991,-4891
INJ_505,20230624,6600,4500,0,450,14991,-10491
INJ_505,20230626,7800,7800,1,500,25978,-18178
INJ_505,20230627,4200,4200,1,50,13990,-9790
INJ_505,20230628,6900,6900,0,1,22982,-16082
INJ_505,20230630,1500,1500,0,-1,4994,-3494
INJ_505,20230701,2400,2400,0,752,7994,-5594
INJ_505,20230703,2400,2400,0,748,7993,-5593
INJ_505,20230704,5100,5100,0,0,16980,-11880
INJ_505,20230705,1800,1800,0,0,5996,-4196
INJ_505,20230706,3000,3000,0,0,9989,-6989
INJ_505,20230707,4200,4200,0,0,13990,-9790
INJ_505,20230708,2400,2400,0,0,7996,-5596
INJ_505,20230710,9600,6300,0,0,20988,-14688
INJ_505,20230711,2700,2700,0,-1,8992,-6292
INJ_505,20230712,2700,2700,1,55,8992,-6292
INJ_505,20230713,26400,4200,0,-1,13990,-9790
INJ_505,20230714,29100,4200,0,749,13986,-9786
INJ_505,20230717,81900,6900,0,1,22982,-16082
INJ_505,20230718,12300,9900,1,54,32973,-23073
INJ_505,20230719,900,900,0,0,2997,-2097
INJ_506,20210927,4300,4300,0,2,51965,-47665
INJ_506,20210928,12000,12000,1,607,99928,-87928
INJ_506,20210929,6500,6500,0,4,56954,-50454
INJ_506,20210930,8700,8000,0,2,71936,-63936
INJ_506,20211001,9600,9600,0,20,79934,-70334
INJ_506,20211002,10100,10100,0,-1,82922,-72822
INJ_506,20211004,8500,7300,0,10,56945,-49645
INJ_506,20211005,4400,4400,0,0,43972,-39572
INJ_506,20211006,8900,8300,0,-2,74943,-66643
INJ_506,20211007,8000,7300,0,49,72950,-65650
INJ_506,20211008,12300,12300,0,31,96935,-84635
INJ_506,20211009,9800,9800,0,12,75928,-66128
INJ_506,20211011,8300,8300,0,7,68947,-60647
INJ_506,20211012,9500,9500,0,14,78934,-69434
INJ_506,20211013,3100,3100,12,182,22988,-19888
INJ_506,20211014,1000,1000,13,718,9991,-8991
INJ_506,20211015,17000,15500,0,-3,118887,-103387
INJ_506,20211016,5800,5200,0,0,37961,-32761
INJ_506,20211018,7400,6700,0,0,56954,-50254
INJ_506,20211019,7500,7500,0,1,66947,-59447
INJ_506,20211020,11900,11200,0,-1,93913,-82713
INJ_506,20211021,5200,4500,0,10,44969,-40469
INJ_506,20211022,7200,6500,0,19,56957,-50457
INJ_506,20211023,8200,8200,0,1,73939,-65739
INJ_506,20211025,12600,8900,0,9,74942,-66042
INJ_506,20211026,6700,6300,0,46,46962,-40662
INJ_506,20211027,5700,5700,0,24,56959,-51259
INJ_506,20211028,9300,9300,0,15,70954,-61654
INJ_506,20211029,5400,4700,0,2,46969,-42269
INJ_506,20211030,13300,13300,0,18,98922,-85622
INJ_506,20211101,11000,11000,0,-2,89916,-78916
INJ_506,20211102,7000,7000,0,33,61947,-54947
INJ_506,20211103,7700,7700,0,2,68940,-61240
INJ_506,20211104,13000,13000,0,1,121907,-108907
INJ_506,20211105,8500,7600,1,532,60955,-53355
INJ_506,20211106,7700,7000,0,25,62949,-55949
INJ_506,20211108,8200,8200,0,-2,63949,-55749
INJ_506,20211109,6200,6200,0,20,43961,-37761
INJ_506,20211110,7600,7600,0,-1,57951,-50351
INJ_506,20211111,7400,7400,0,18,73944,-66544
INJ_506,20211112,23000,22300,0,21,180853,-158553
INJ_506,20211113,8700,8700,0,824,80942,-72242
INJ_506,20211115,18000,17600,0,3,139899,-122299
INJ_506,20211116,8700,8300,0,6,74934,-66634
INJ_506,20211117,7100,6600,0,-1,59953,-53353
INJ_506,20211118,7200,6600,0,1,57955,-51355
INJ_506,20211119,8900,7900,0,2,70935,-63035
INJ_506,20211120,7200,6700,0,0,58954,-52254
INJ_506,20211122,10800,10800,0,0,83930,-73130
INJ_506,20211123,10200,9500,0,2,94923,-85423
INJ_506,20211124,9800,9800,0,0,83941,-74141
INJ_506,20211125,8300,8300,0,0,68948,-60648
INJ_506,20211126,5700,5700,0,0,56955,-51255
INJ_506,20211127,8000,6600,0,3,57970,-51370
INJ_506,20211129,7700,6700,0,-1,56951,-50251
INJ_506,20211130,5500,5500,0,-1,54946,-49446
INJ_506,20211201,7600,7600,0,21,53948,-46348
INJ_506,20211202,5900,5900,0,0,42955,-37055
INJ_506,20211203,6100,6100,0,6,40968,-34868
INJ_506,20211204,5000,5000,0,1,49960,-44960
INJ_506,20211206,10700,10400,0,10,87928,-77528
INJ_506,20211207,10400,10400,0,3,79943,-69543
INJ_506,20211208,11700,11000,0,6,91943,-80943
INJ_506,20211209,11000,10400,0,30,93923,-83523
INJ_506,20211210,12600,12600,0,-1,107918,-95318
INJ_506,20211211,10900,10900,0,0,94923,-84023
INJ_506,20211213,9000,9000,0,-1,71944,-62944
INJ_506,20211214,6100,6100,0,17,60924,-54824
INJ_506,20211215,12600,12100,0,0,98910,-86810
INJ_506,20211216,9100,8800,0,-1,87915,-79115
INJ_506,20211217,9000,7800,0,4,59953,-52153
INJ_506,20211218,12000,12000,0,44,93922,-81922
INJ_506,20211220,6700,6700,0,-1,58933,-52233
INJ_506,20211221,8100,7700,0,52,60939,-53239
INJ_506,20211222,6900,6900,0,58,68951,-62051
INJ_506,20211223,8900,8900,0,1,88917,-80017
INJ_506,20211224,11000,11000,0,2,99898,-88898
INJ_506,20211225,3300,3300,0,17,32973,-29673
INJ_506,20211227,12900,11400,0,-2,99913,-88513
INJ_506,20211228,6500,6500,0,0,58460,-51960
INJ_506,20211229,7500,7500,0,1,64943,-57443
INJ_506,20211230,8800,8000,0,2,71940,-63940
INJ_506,20211231,10200,9600,0,1,85937,-76337
INJ_506,20220101,10100,10100,0,2,90935,-80835
INJ_506,20220103,2900,2900,0,0,28976,-26076
INJ_506,20220104,9400,9400,0,60,73941,-64541
INJ_506,20220105,11600,10900,0,-1,90928,-80028
INJ_506,20220106,9600,9600,0,0,95937,-86337
INJ_506,20220107,10400,9700,0,11,76932,-67232
INJ_506,20220108,9500,8700,0,-1,80942,-72242
INJ_506,20220110,12600,12600,0,19,111897,-99297
INJ_506,20220111,14400,14400,0,22,119901,-105501
INJ_506,20220112,12600,11800,0,4,85508,-73708
INJ_506,20220113,10400,10000,0,-3,91933,-81933
INJ_506,20220114,9200,9200,0,11,73948,-64748
INJ_506,20220115,10200,9500,0,10,76935,-67435
INJ_506,20220117,11000,10500,0,2,94927,-84427
